WKT,id,order_number,sos,sos_new,on_street,from_street,to_street,smo_code,sign_description,size_description,facing_direction_type,arrow_points,distance_from_intersection,smo_category,smo_subtype,last_work_date,notes
"POINT (-73.9843135307819 40.7698492298928)","10213529",P-01258336,E,"[ ""E"", ""East side"" ]",COLUMBUS AVENUE,WEST   60 STREET,WEST   58 STREET,R7-1R,NO STOPPING ANYTIME <------> ,018 X 012,,,"433",parking,No Stopping,2012/09/24,
"POINT (-73.9843135307819 40.7698492298928)","10213519",P-01258336,E,"[ ""E"", ""East side"" ]",COLUMBUS AVENUE,WEST   60 STREET,WEST   58 STREET,SP-856C,NO PARKING (SANITATION BROOM SYMBOL) 7AM-7:30AM EXCEPT SUNDAY <-> ,018 X 012,,,"36",parking,Street Cleaning,2013/04/13,
"POINT (-73.9843135307819 40.7698492298928)","10213520",P-01258336,E,"[ ""E"", ""East side"" ]",COLUMBUS AVENUE,WEST   60 STREET,WEST   58 STREET,SP-1101B,3 HOUR METERED PARKING COMMERCIAL VEHICLES ONLY OTHERS NO STANDING MONDAY-FRIDAY 7:30AM-7PM <--> 1 HOUR METERED PARKING SATURDAY 7:30AM-7PM <--> ,018 X 042,,,"36",parking,Metered Parking,2013/04/13,
"POINT (-73.9843135307819 40.7698492298928)","10213521",P-01258336,E,"[ ""E"", ""East side"" ]",COLUMBUS AVENUE,WEST   60 STREET,WEST   58 STREET,SP-856C,NO PARKING (SANITATION BROOM SYMBOL) 7AM-7:30AM EXCEPT SUNDAY <-> ,018 X 012,,,"182",parking,Street Cleaning,2013/04/13,
"POINT (-73.9843135307819 40.7698492298928)","10213522",P-01258336,E,"[ ""E"", ""East side"" ]",COLUMBUS AVENUE,WEST   60 STREET,WEST   58 STREET,SP-1101B,3 HOUR METERED PARKING COMMERCIAL VEHICLES ONLY OTHERS NO STANDING MONDAY-FRIDAY 7:30AM-7PM <--> 1 HOUR METERED PARKING SATURDAY 7:30AM-7PM <--> ,018 X 042,,,"182",parking,Metered Parking,2013/04/13,
"POINT (-73.9843135307819 40.7698492298928)","10213523",P-01258336,E,"[ ""E"", ""East side"" ]",COLUMBUS AVENUE,WEST   60 STREET,WEST   58 STREET,SP-856CA,NO PARKING (SANITATION BROOM SYMBOL) 7AM-7:30AM EXCEPT SUNDAY --> ,018 X 012,,North,"196",parking,Street Cleaning,2013/04/13,
"POINT (-73.9843135307819 40.7698492298928)","10213524",P-01258336,E,"[ ""E"", ""East side"" ]",COLUMBUS AVENUE,WEST   60 STREET,WEST   58 STREET,SP-1101BA,3 HOUR METERED PARKING COMMERCIAL VEHICLES ONLY OTHERS NO STANDING MONDAY-FRIDAY 7:30AM-7PM --> 1 HOUR METERED PARKING SATURDAY 7:30AM-7PM --> ,018 X 042,,North,"196",parking,Metered Parking,2013/04/13,
"POINT (-73.9843135307819 40.7698492298928)","10213525",P-01258336,E,"[ ""E"", ""East side"" ]",COLUMBUS AVENUE,WEST   60 STREET,WEST   58 STREET,SP-854CA,NO PARKING ANYTIME --> ,018 X 012,,North,"243",parking,No Parking (Non-ASP),2013/04/13,
"POINT (-73.9843135307819 40.7698492298928)","10213526",P-01258336,E,"[ ""E"", ""East side"" ]",COLUMBUS AVENUE,WEST   60 STREET,WEST   58 STREET,SP-1096BA,3 HMP COMMERCIAL VEHICLES ONLY OTHERS NO STANDING 7AM-7PM EXCEPT SUNDAY --> 2 HMP 7PM-11PM EXCEPT SUNDAY --> ,018 X 042,,South,"284",parking,Metered Parking,2013/04/13,
"POINT (-73.9843135307819 40.7698492298928)","10213527",P-01258336,E,"[ ""E"", ""East side"" ]",COLUMBUS AVENUE,WEST   60 STREET,WEST   58 STREET,SP-1096BA,3 HMP COMMERCIAL VEHICLES ONLY OTHERS NO STANDING 7AM-7PM EXCEPT SUNDAY --> 2 HMP 7PM-11PM EXCEPT SUNDAY --> ,018 X 042,,North,"320",parking,Metered Parking,2013/04/13,
"POINT (-73.9843135307819 40.7698492298928)","10213528",P-01258336,E,"[ ""E"", ""East side"" ]",COLUMBUS AVENUE,WEST   60 STREET,WEST   58 STREET,R7-1R,NO STOPPING ANYTIME <------> ,018 X 012,,,"365",parking,No Stopping,2012/09/24,
"POINT (-73.9828727419889 40.7769170304785)","12766085",P-01537287,E,"[ ""E"", ""East side"" ]",AMSTERDAM AVENUE,WEST   69 STREET,WEST   70 STREET,SP-477BA,BUS STOP SIGN(NO STANDING),"20"" DIA.",,South,"98",parking,Bus Stop,2021/06/30,"403555"
"POINT (-73.9828727419889 40.7769170304785)","12766086",P-01537287,E,"[ ""E"", ""East side"" ]",AMSTERDAM AVENUE,WEST   69 STREET,WEST   70 STREET,SI-1878G,ROUTE: M11,14.12 X 6,,,"98",parking,Bus Stop,2021/06/30,M11
"POINT (-73.9828727419889 40.7769170304785)","12766087",P-01537287,E,"[ ""E"", ""East side"" ]",AMSTERDAM AVENUE,WEST   69 STREET,WEST   70 STREET,SI-1879G,DESTINATION: RIVERBANK PARK,18.12 X 6,,,"98",parking,Bus Stop,2021/06/30,RIVERBANK PARK
"POINT (-73.9828727419889 40.7769170304785)","12766088",P-01537287,E,"[ ""E"", ""East side"" ]",AMSTERDAM AVENUE,WEST   69 STREET,WEST   70 STREET,SI-584G,"Located At: AMSTERDAM AV &amp; W 69 ST",016 X 008,,,"98",parking,Bus Stop,2021/06/30,"AMSTERDAM AV &amp; W 69 ST"
"POINT (-73.9827796365075 40.7770409714835)","12766089",P-01537287,E,"[ ""E"", ""East side"" ]",AMSTERDAM AVENUE,WEST   69 STREET,WEST   70 STREET,PS-148EA,TRUCK (SYMBOL) TRUCK LOADING ONLY 7AM-MIDNIGHT EXCEPT SUNDAY --> ,018 X 018,,South,"150",parking,Other Curb Side,2021/06/30,
"POINT (-73.9827796365075 40.7770409714835)","12766091",P-01537287,E,"[ ""E"", ""East side"" ]",AMSTERDAM AVENUE,WEST   69 STREET,WEST   70 STREET,PS-66CA,2 HOUR METERED PARKING 9AM-10PM EXCEPT SUNDAY --> ,018 X 018,,North,"150",parking,Metered Parking,2021/06/30,
"POINT (-73.9827796365075 40.7770409714835)","12766090",P-01537287,E,"[ ""E"", ""East side"" ]",AMSTERDAM AVENUE,WEST   69 STREET,WEST   70 STREET,PS-19BA,NO PARKING (SANITATION BROOM SYMBOL) 8:30AM-9AM EXCEPT SUNDAY --> ,018 X 012,,North,"150",parking,Street Cleaning,2021/06/30,
"POINT (-73.9827796365075 40.7770409714835)","12766092",P-01537287,E,"[ ""E"", ""East side"" ]",AMSTERDAM AVENUE,WEST   69 STREET,WEST   70 STREET,PS-9A,ZONE#114327 PAY BY CELL LOCATOR,018 X 006,,,"150",parking,Metered Parking,2021/06/30,"114327"
"POINT (-73.9762259726978 40.7780477600042)","11665315",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-68B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9AM-10:30AM <-> ,018 X 012,,,"495",parking,Street Cleaning,2019/08/30,
"POINT (-73.9775879066589 40.7786257753587)","11665305",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-1G,NO STANDING ANYTIME <-> ,018 X 012,,,"78",parking,No Standing,2015/09/18,FOR THE BIKE SHARE STATION.
"POINT (-73.9775059377425 40.7785909878542)","11665306",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-1GA,NO STANDING ANYTIME --> ,018 X 012,,West,"104",parking,No Standing,2015/09/18,
"POINT (-73.9773798318846 40.7785374685023)","11665307",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-68BA,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9AM-10:30AM --> ,018 X 012,,West,"144",parking,Street Cleaning,2015/09/18,
"POINT (-73.9772032840241 40.7784625411771)","11665308",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-31GA,NO STANDING SCHOOL DAYS 7AM-4PM --> ,018 X 012,,West,"200",parking,No Standing,2015/09/18,PARKSIDE SCHOOL
"POINT (-73.9770771786526 40.778409021493)","11665372",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-2GA,NO PARKING ANYTIME --> ,018 X 012,,West,"240",parking,No Parking (Non-ASP),2019/12/26,#46 ICL JOSELOW HOUSE
"POINT (-73.9769636839917 40.7783608536589)","11665310",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-68B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9AM-10:30AM <-> ,018 X 012,,,"276",parking,Street Cleaning,2015/09/18,
"POINT (-73.9766831006735 40.7782417715878)","11665311",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-68B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9AM-10:30AM <-> ,018 X 012,,,"365",parking,Street Cleaning,2015/09/18,
"POINT (-73.9764403496237 40.7781387449734)","11665312",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-31GA,NO STANDING SCHOOL DAYS 7AM-4PM --> ,018 X 012,,East,"442",parking,No Standing,2019/05/01,
"POINT (-73.9763572679241 40.7780628731269)","11665313",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-68B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9AM-10:30AM <-> ,018 X 012,,,"442",parking,Street Cleaning,2019/08/30,
"POINT (-73.9762732616752 40.7780678302524)","11665314",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-31GA,NO STANDING SCHOOL DAYS 7AM-4PM --> ,018 X 012,,West,"495",parking,No Standing,2019/08/30,ROBERT LOUIS STEVENSON SCHOOL
"POINT (-73.9762102097117 40.7780410699171)","11665316",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-31GA,NO STANDING SCHOOL DAYS 7AM-4PM --> ,018 X 012,,East,"515",parking,No Standing,2019/08/30,WILLIAM ALANSON WHITE INSTITUTE
"POINT (-73.9762102097117 40.7780410699171)","11665317",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-68B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9AM-10:30AM <-> ,018 X 012,,,"515",parking,Street Cleaning,2019/08/30,
"POINT (-73.9761156318614 40.7780009293494)","11665318",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-31GA,NO STANDING SCHOOL DAYS 7AM-4PM --> ,018 X 012,,West,"545",parking,No Standing,2019/08/30,
"POINT (-73.9761156318614 40.7780009293494)","11665319",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-68B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9AM-10:30AM <-> ,018 X 012,,,"545",parking,Street Cleaning,2019/08/30,
"POINT (-73.9760588852059 40.7779768449713)","11665320",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-68B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9AM-10:30AM <-> ,018 X 012,,,"563",parking,Street Cleaning,2019/05/01,
"POINT (-73.9757215587125 40.7778336761455)","11665321",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-68B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9AM-10:30AM <-> ,018 X 012,,,"670",parking,Street Cleaning,2015/09/18,
"POINT (-73.9753211824206 40.7776637455059)","11665322",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-68B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9AM-10:30AM <-> ,018 X 012,,,"797",parking,Street Cleaning,2015/09/18,
"POINT (-73.9762960184353 40.7915690034711)","11261225",S-01362318,N,"[ ""N"", ""North side"" ]",WEST   90 STREET,RIVERSIDE DRIVE,WEST END AVENUE,PS-57B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 9:30AM-11AM <-> ,018 X 012,,,"443",parking,Street Cleaning,2017/12/20,
