Precinct,Lat,Long,Percentage in Same Zip,Percentage in Brooklyn,Percentage in Bronx,Percentage in Manhattan,Percentage in Staten Island,Percentage in Queens,Percentage in Long Island,Percentage in Upstate Ny,Percentage in NYC
001 PRECINCT,40.720302,-74.007092,0.0,0.11,0.03,0.07,0.26,0.1,0.25,0.1,0.56
005 PRECINCT,40.716161,-73.997462,0.01,0.24,0.06,0.12,0.16,0.13,0.15,0.04,0.7
006 PRECINCT,40.733986,-74.005538,0.02,0.13,0.04,0.1,0.15,0.08,0.27,0.14,0.49
007 PRECINCT,40.71637,-73.983857,0.19,0.15,0.07,0.06,0.1,0.1,0.16,0.05,0.49
009 PRECINCT,40.726461,-73.987835,0.01,0.18,0.08,0.13,0.1,0.13,0.19,0.08,0.61
010 PRECINCT,40.74266,-73.998637,0.03,0.09,0.02,0.1,0.12,0.09,0.34,0.14,0.42
013 PRECINCT,40.73674,-73.982863,0.0,0.1,0.05,0.1,0.13,0.12,0.33,0.09,0.49
014 PCT,40.753874,-73.994987,0.0,0.09,0.05,0.05,0.1,0.11,0.46,0.08,0.4
017 PRECINCT,40.756768,-73.970785,0.0,0.05,0.08,0.11,0.05,0.13,0.37,0.13,0.41
018 PCT,40.76496,-73.985137,0.01,0.07,0.05,0.07,0.04,0.13,0.35,0.18,0.36
019 PRECINCT,40.767092,-73.963812,0.0,0.1,0.1,0.13,0.04,0.18,0.17,0.18,0.55
020 PRECINCT,40.784119,-73.975087,0.0,0.04,0.11,0.13,0.02,0.1,0.19,0.26,0.41
CENTRAL PARK PRECINCT,40.7832,-73.964256,0.03,0.04,0.12,0.14,0.0,0.13,0.17,0.25,0.43
023 PRECINCT,40.78913,-73.947194,0.13,0.06,0.12,0.13,0.01,0.14,0.15,0.2,0.46
024 PRECINCT,40.796446,-73.967259,0.11,0.05,0.1,0.12,0.0,0.14,0.12,0.26,0.42
025 PRECINCT,40.80075,-73.941024,0.06,0.05,0.11,0.15,0.01,0.12,0.23,0.18,0.45
026 PRECINCT,40.814716,-73.956493,0.08,0.02,0.15,0.2,0.01,0.11,0.11,0.23,0.49
028 PRECINCT,40.808724,-73.952512,0.05,0.04,0.16,0.16,0.01,0.09,0.16,0.24,0.45
030 PRECINCT,40.828788,-73.94391,0.03,0.03,0.15,0.14,0.01,0.11,0.09,0.3,0.44
032 PRECINCT,40.815787,-73.945301,0.04,0.07,0.1,0.13,0.01,0.2,0.19,0.19,0.5
033 PRECINCT,40.84067,-73.935887,0.04,0.04,0.12,0.17,0.01,0.14,0.06,0.28,0.48
034 PRECINCT,40.85155,-73.935331,0.02,0.01,0.16,0.15,0.0,0.12,0.09,0.32,0.44
040 PRECINCT,40.810311,-73.92524,0.03,0.03,0.35,0.07,0.0,0.08,0.02,0.27,0.53
041 PRECINCT,40.81625,-73.895416,0.0,0.02,0.31,0.05,0.0,0.11,0.05,0.33,0.49
042 PRECINCT,40.822444,-73.91124,0.04,0.0,0.37,0.08,0.0,0.06,0.05,0.29,0.51
043 PRECINCT,40.822998,-73.869755,0.07,0.01,0.27,0.06,0.0,0.1,0.05,0.3,0.44
044 PRECINCT,40.837592,-73.919654,0.04,0.01,0.28,0.07,0.0,0.06,0.01,0.36,0.42
045 PRECINCT,40.830821,-73.827363,0.08,0.0,0.33,0.01,0.0,0.06,0.03,0.38,0.4
046 PRECINCT,40.853971,-73.900174,0.01,0.01,0.3,0.11,0.01,0.04,0.02,0.31,0.46
047 PRECINCT,40.887496,-73.847518,0.07,0.0,0.32,0.05,0.0,0.05,0.01,0.42,0.42
048 PRECINCT,40.843901,-73.900448,0.05,0.01,0.35,0.08,0.0,0.04,0.02,0.35,0.47
049 PRECINCT,40.856053,-73.844364,0.04,0.0,0.32,0.03,0.0,0.04,0.02,0.47,0.39
050 PRECINCT,40.883498,-73.902285,0.09,0.01,0.22,0.02,0.0,0.01,0.01,0.52,0.25
052 PRECINCT,40.869058,-73.879703,0.06,0.0,0.19,0.04,0.01,0.02,0.01,0.53,0.25
060 PRECINCT,40.576607,-73.976192,0.06,0.41,0.0,0.0,0.29,0.07,0.09,0.01,0.77
061 PRECINCT,40.594116,-73.960533,0.04,0.49,0.0,0.01,0.19,0.05,0.15,0.0,0.74
062 PRECINCT,40.602471,-74.003126,0.1,0.42,0.0,0.0,0.29,0.04,0.1,0.0,0.75
063 PRECINCT,40.627975,-73.941643,0.04,0.51,0.0,0.01,0.15,0.08,0.16,0.0,0.74
066 PRECINCT,40.625686,-73.991414,0.07,0.49,0.01,0.0,0.21,0.1,0.06,0.01,0.81
067 PRECINCT,40.648695,-73.950259,0.04,0.29,0.01,0.0,0.17,0.16,0.26,0.01,0.64
068 PRECINCT,40.639092,-74.022644,0.04,0.41,0.0,0.01,0.42,0.05,0.04,0.01,0.88
069 PRECINCT,40.648467,-73.904945,0.14,0.3,0.0,0.0,0.07,0.15,0.25,0.0,0.53
070 PRECINCT,40.630407,-73.973677,0.04,0.4,0.0,0.01,0.24,0.09,0.17,0.0,0.73
071 PRECINCT,40.664598,-73.94795,0.0,0.41,0.0,0.01,0.18,0.11,0.18,0.01,0.72
072 PRECINCT,40.658336,-74.000824,0.01,0.49,0.0,0.01,0.31,0.09,0.07,0.01,0.9
073 PRECINCT,40.670785,-73.913577,0.07,0.22,0.0,0.0,0.03,0.21,0.33,0.0,0.46
075 PRECINCT,40.67117,-73.881556,0.06,0.13,0.0,0.0,0.01,0.14,0.51,0.0,0.29
076 PRECINCT,40.683798,-74.000254,0.2,0.37,0.0,0.0,0.11,0.1,0.11,0.02,0.58
077 PRECINCT,40.674705,-73.930275,0.03,0.26,0.01,0.01,0.06,0.2,0.33,0.0,0.54
