Command,lat,lng,zip,07631,07652,07728,10001,10002,10003,10004,10005,10006,10007,10008,10009,10010,10011,10012,10013,10014,10016,10017,10018,10019,10021,10022,10023,10024,10025,10026,10027,10028,10029,10030,10031,10032,10033,10034,10035,10036,10037,10038,10039,10040,10065,10069,10075,10128,10280,10301,10302,10303,10304,10305,10306,10307,10308,10309,10310,10312,10314,10451,10452,10453,10454,10455,10456,10457,10458,10459,10460,10461,10462,10463,10464,10465,10466,10467,10468,10469,10470,10471,10472,10473,10474,10475,10501,10502,10505,10506,10507,10509,10510,10511,10512,10514,10516,10517,10518,10520,10522,10523,10524,10528,10530,10532,10533,10535,10536,10537,10538,10540,10541,10542,10543,10547,10548,10549,10550,10552,10553,10560,10562,10566,10567,10570,10573,10579,10580,10583,10588,10589,10590,10591,10594,10595,10596,10598,10601,10603,10604,10605,10606,10607,10701,10703,10704,10705,10706,10707,10708,10709,10710,10801,10803,10804,10805,10901,10913,10914,10916,10917,10918,10919,10920,10921,10922,10923,10924,10925,10926,10927,10928,10930,10931,10933,10940,10941,10950,10952,10953,10954,10956,10958,10960,10962,10963,10964,10965,10968,10969,10970,10973,10974,10976,10977,10980,10981,10983,10984,10986,10987,10988,10989,10990,10992,10993,10994,10998,11001,11003,11004,11010,11020,11021,11023,11024,11026,11030,11040,11050,11096,11101,11102,11103,11104,11105,11106,11109,11201,11202,11203,11204,11205,11206,11207,11208,11209,11210,11211,11212,11213,11214,11215,11216,11217,11218,11219,11220,11221,11222,11223,11224,11225,11226,11228,11229,11230,11231,11232,11233,11234,11235,11236,11237,11238,11239,11249,11354,11355,11356,11357,11358,11360,11361,11362,11363,11364,11365,11366,11367,11368,11369,11370,11372,11373,11374,11375,11377,11378,11379,11385,11411,11412,11413,11414,11415,11416,11417,11418,11419,11420,11421,11422,11423,11426,11427,11428,11429,11432,11433,11434,11435,11436,11501,11507,11509,11510,11514,11516,11518,11520,11530,11539,11542,11545,11547,11548,11550,11552,11553,11554,11557,11558,11559,11560,11561,11563,11565,11566,11570,11572,11575,11576,11577,11579,11580,11581,11587,11590,11596,11598,11691,11692,11693,11694,11697,11701,11702,11703,11704,11705,11706,11709,11710,11713,11714,11715,11716,11717,11718,11719,11720,11721,11722,11725,11726,11727,11729,11730,11731,11732,11733,11735,11738,11739,11740,11741,11742,11743,11746,11747,11749,11751,11752,11753,11754,11755,11756,11757,11758,11762,11763,11764,11765,11766,11767,11768,11769,11771,11772,11776,11777,11778,11779,11780,11782,11783,11784,11786,11787,11788,11789,11790,11791,11792,11793,11795,11796,11797,11798,11801,11803,11804,11901,11933,11934,11940,11941,11942,11946,11948,11949,11950,11951,11953,11955,11961,11967,11968,11971,11978,11980,12253,12518,12520,12531,12533,12542,12543,12549,12550,12553,12563,12566,12575,12577,12582,12586,12589,12721,12729,12746,12771,12780,18302,Total
001 PRECINCT,40.720302,-74.007092,10013,,,,,5,,,,,,,,,2,,,,,,,,,,,,1,,,,2,2,,,,,,,,1,1,,,,,,,2,,2,3,3,7,2,4,8,5,6,12,,1,1,1,1,2,,,,,,1,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,1,,,,,3,,,,,1,,,,1,,,,1,,,,,,,,,,1,,,,1,,,,,2,,1,,,1,1,1,,,,,,,,1,,,,,1,,,,,,,,1,,1,,,,1,1,,,,,,,,,1,,,,,,2,,,1,,1,1,2,,,1,,,,,,3,1,,,2,,2,,,,2,,1,1,4,,1,1,,1,,1,,,,,,1,,,1,,1,,,1,2,,,,,1,,,,3,,,1,,,,,1,,,,1,1,,,1,,,,1,,2,1,,2,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,1,,,1,,2,,1,,,,,,,2,,,,2,3,,1,,3,,2,1,,,,,2,,,1,,1,2,,,,,1,,,,,,1,,,,,,,2,,2,2,3,1,3,,,,,,,,,1,,,2,,1,2,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,210
005 PRECINCT,40.716161,-73.997462,10013,,,,,8,,,,,,,1,,,1,1,,,,,,,,2,,,,,,1,1,1,,,,,,,7,,,,,1,,,4,1,1,3,2,4,1,,2,2,3,8,,,1,,,,,1,,,2,1,1,,3,,,1,3,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,1,,,,,,2,1,,,,,,1,1,,2,,1,3,,3,3,,1,,,1,,11,1,,1,2,1,2,1,2,1,,1,,4,3,1,,1,2,1,1,1,,3,,1,1,4,,1,1,,,2,,,3,,2,1,,,,3,1,,,,,1,,,,,,,,,,,1,1,,,,,,2,1,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,2,,,1,,,,,1,,,,,1,,,,1,,,,,,,,1,,,,,1,,,,2,,,,,2,,,,,1,,,1,1,2,3,,1,,,,,,1,,,1,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,199
006 PRECINCT,40.733986,-74.005538,10014,,,,1,3,2,,,,,,,1,3,,,3,,,,,,,,,,,,,,,2,,1,,,2,,,2,1,,,1,,,2,1,,1,2,8,1,1,3,2,3,5,1,,,,,,,,,,,3,,,,,1,,,,2,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,1,1,2,1,,,,,1,,,,,,,,,1,1,,,,,,2,2,,,,,,,1,,4,1,,1,1,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,2,,1,,,,,,,,2,,,1,1,1,2,1,,,1,,2,1,,,2,,3,2,,1,1,1,,1,,,,1,,,,1,2,,,,1,,2,1,1,1,3,,,1,,1,,,1,,,,,,1,1,,,,,,,,,,1,,,3,,,,,1,,,,,,,,,,,1,,,,,,,2,,,1,,,,,,,,,,,1,,,1,,,,,1,2,,1,1,,1,,,,1,2,,1,,,1,,,3,,1,,1,1,,,,1,,4,,,,,,1,,,2,1,,1,,,,,,,,,,1,,2,,,,,,2,,3,2,3,,,,,,,1,1,1,,,,,1,,,2,,,,,,,,,3,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,196
007 PRECINCT,40.71637,-73.983857,10002,,,,,38,,,1,,,,4,,,,1,,1,,,,,,,2,,,,,,,,,,,,,,3,,1,,,,,,3,2,1,3,,1,1,1,1,2,3,2,1,,,,,,1,1,,2,1,1,1,,1,1,2,,,1,,,3,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,2,,1,,,1,1,,,,,,,,,,,,,,1,,1,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,4,,2,2,1,6,,1,2,1,,,,,1,1,1,2,,1,,2,1,1,,,1,4,1,2,1,1,,,,1,,2,,,1,,,1,,,,,,1,1,,,,1,1,,3,,,,1,1,1,,1,,,1,1,,,1,,,2,,,,,1,,,,,,,1,1,,,,,,,,1,1,,,,,1,1,1,,,,,,,,1,,,1,,,1,1,,,,,,,3,1,,,1,,,,,1,,,,,,,,2,,1,,,,1,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,,,,,,2,,,2,,,,,,,1,,1,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,201
009 PRECINCT,40.726461,-73.987835,10003,,,,,5,1,,,,1,,11,,,1,,,,,,,,1,1,,,,1,,,,,,,,,,,1,,,,,,,,2,2,1,1,2,2,,1,2,1,1,2,,,,,,,,2,,,,2,,,,,3,,2,,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,2,,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,1,,,,,,,,,,,,,,2,,,,,1,,,,1,,1,1,9,,2,2,1,1,1,,,,1,,2,3,2,,,,2,1,,1,,2,2,2,1,1,,1,1,,,,2,3,1,1,1,,1,,,,1,,,,1,,,,1,,1,,,,1,1,,,1,,1,1,1,1,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,3,,1,,2,,,,,2,,,,,,1,,,,,,,,2,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,1,,1,2,2,2,,,,,,,,,,,,,,3,,,,,,1,,,,,,1,,,,3,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,176
010 PRECINCT,40.74266,-73.998637,10011,,,,1,4,1,,,,,,1,1,5,,,,,,,1,,,,,,1,1,,,,,2,,,,,,1,,,1,,1,2,,1,1,,,,2,,3,,1,5,8,,,2,,,,,,1,,,,1,,2,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,1,1,,,,1,,,2,,,,,,2,,1,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,1,,,,,3,,,,,,,1,,,1,,,,,,,,,,,,,1,1,,,,1,,,2,,,,,,1,1,2,,,,,1,1,,,,,2,,,,1,,,1,2,,,,,1,1,1,,,3,1,,,,2,2,,,,,1,1,,,1,1,,,,,,,1,,1,,,,,,,,,,,,,2,,3,,1,,,,2,,,,,,,,,,2,,,,,,2,,,2,,,,,,1,2,1,,,,,,1,,,1,,,,,3,1,,,,,,,1,,1,,,1,,,1,2,,,,,,2,4,,3,,1,,2,,,2,,,,,4,,,1,1,,,,,,,,,1,1,,,,,,,,,,,3,3,,1,,,,,,,,1,1,,,2,,,1,,,1,1,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,,,,,,,182
013 PRECINCT,40.73674,-73.982863,10010,,,,1,1,,,,,,,3,,,,,,3,,,1,,,,,,2,1,,1,,1,2,1,1,,,1,,,,,,,2,,1,,3,2,2,6,1,2,1,2,3,4,,1,,1,,,,1,2,1,,,,,,,,2,2,1,,1,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,1,,,2,,,,,,,2,,,1,,,,,1,,,,1,,,,,,,1,,1,2,1,1,,,,,,,2,1,,,1,1,1,,1,,,,5,,,1,,1,2,,,,,2,,2,,1,,,,1,,,,1,,1,2,,,1,,1,3,,,,,1,,1,,2,,2,,,,,,,,,1,,1,,2,,,1,3,,,,,,,1,,,,1,1,,,,1,,1,,,1,,2,1,,2,1,,,,,,,,,,,,,2,,,,,1,,2,,,1,,,,,,,,,1,,,1,,1,1,,1,1,2,,,,4,,5,,,,,,,,,1,1,1,3,,,,,3,,,1,4,1,,,,,1,,,1,,1,1,3,,3,1,,,1,,1,,,2,1,1,2,,1,2,1,,3,,,,,,2,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,214
014 PCT,40.753874,-73.994987,10001,,,,,2,,,,,,,1,,,,,,,,1,1,,,,,2,,1,,1,1,2,1,,2,,,,,,1,,,,1,,5,,,1,2,3,2,2,5,2,4,8,2,2,1,,,1,1,2,1,,,3,2,,2,,1,,1,1,,,2,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,1,,1,,,,,,,,,,,,,,,,1,1,1,,,1,,,,,1,,1,,,,,,,,,1,,,1,,,,,,,,1,,,2,,,,,,,2,,,,,,,1,,,,,,,,,3,3,,,1,1,1,,4,,2,,,,,,,,,1,,1,,,,1,,1,1,1,,,,1,1,,,1,1,1,1,,,1,1,3,1,2,,,2,2,5,,1,1,1,1,,2,,2,,,1,,2,2,5,3,2,1,,1,,,,,,1,,,1,2,2,1,3,,,,2,,,,,,,1,3,1,,,,3,,1,,,1,1,1,,,2,1,,3,1,2,,2,,,,,,,1,,,,,4,4,1,6,1,6,,,,,2,1,,2,,,,,,,,3,1,,1,,1,1,2,,3,1,1,,,,1,1,1,2,1,2,4,3,6,,,4,1,,,2,1,1,1,,,1,,,,3,5,4,9,1,2,,,2,5,1,3,1,2,1,,,8,1,1,4,2,,2,2,1,,,,4,3,,,,4,,1,,,,,,,,,2,,,1,,,,,,1,,,1,,,,,,,,,1,,2,,,,,,,,1,,1,354
017 PRECINCT,40.756768,-73.970785,10022,,,,,3,,,,,,,,,,,,,1,,,1,1,,,2,2,,1,,1,,,,,1,1,1,,,1,,,,,,,,,,,,,1,2,,,1,3,,,,,,1,,1,,,2,3,,,4,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,1,,,1,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,1,,,,,,1,,,,,,,1,,1,,,,,,1,,,,,,,,,,3,,,1,1,,,,,,,,,,,,,,1,,,,,1,,1,,1,,,,1,,,1,,1,,,,,,,,,1,1,2,1,1,,,,1,,,,,1,1,1,1,,,,,,,,,1,1,,,,,1,,,,,,,,,1,,,,,,1,,2,,,,,,1,,,1,,,,1,,,1,,,1,3,,1,,,,,,1,,,,1,,,1,,,1,,,1,,,,,1,,,1,1,,,,,,,1,,,1,,1,,,2,1,,3,,1,,,,,2,,,1,1,,,,,,,,1,,2,,,1,2,,2,,1,,,1,,,,,1,1,1,1,1,,,1,,,,2,1,1,1,,,,,,1,,,1,2,,,1,,,,,,,4,,,,2,,,1,,,,,,,,1,1,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150
