"address_1","nyc_borough_block_and_lot_bbl","year_built","number_of_buildings","largest_property_use_type","largest_property_use_type_gross_floor_area_ft","_2nd_largest_property_use_type","_2nd_largest_property_use_gross_floor_area_ft","_3rd_largest_property_use_type","_3rd_largest_property_use_type_gross_floor_area_ft","total_ghg_emissions_metric_tons_co2e","energy_star_score","reason_s_for_no_score","property_gfa_self_reported_ft","office_gross_floor_area_ft","multifamily_housing_gross_floor_area_ft","parking_gross_floor_area_ft","retail_store_gross_floor_area_ft","supermarket_grocery_gross_floor_area_ft","property_gfa_calculated_buildings_ft","property_gfa_calculated_parking_ft","fuel_oil_2_use_kbtu","fuel_oil_4_use_kbtu","diesel_2_use_kbtu","district_steam_use_kbtu","natural_gas_use_kbtu","natural_gas_use_therms","electricity_use_grid_purchase_kwh"
"1000 10th AVE","1010680001; 1010680003","1963","2","Other - Specialty Hospital","855085","Not Available","Not Available","Not Available","Not Available","14702.9","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","855085","Not Available","Not Available","Not Available","Not Available","Not Available","855085","Not Available","Not Available","Not Available","Not Available","108243278.8","628226.2","6282.26167","27597117.7"
"1000 5th Ave","1-01111-0001","1878","32","Other","2398850","Not Available","Not Available","Not Available","Not Available","31694.5","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","2398850","Not Available","Not Available","Not Available","Not Available","Not Available","2398850","Not Available","5690912.8","Not Available","Not Available","228092084.7","7364827.6","73648.2756","58038956"
"1000 Third Avenue","1013940023","1886","1","Retail Store","849062","Restaurant","7912","Not Available","Not Available","4363","25","Not Available","856974","Not Available","Not Available","Not Available","849062","Not Available","856974","Not Available","Not Available","Not Available","Not Available","14438582.1","686373.2","6863.731943","12421668.5"
"1001 6 Ave","1008130031","1926","1","Office","221479","Financial Office","8772","Restaurant","2100","729.1","83","Not Available","232351","221479","Not Available","Not Available","Not Available","Not Available","232351","Not Available","Not Available","Not Available","Not Available","2348568.2","Not Available","Not Available","2113969.9"
"100 Amsterdam Avenue","1011560030","1982","1","K-12 School","401020","Not Available","Not Available","Not Available","Not Available","1904","64","Not Available","401020","Not Available","Not Available","Not Available","Not Available","Not Available","401020","Not Available","Not Available","Not Available","Not Available","18649088","29100","291.0000139","2449599.7"
"100 Broadway","1-00046-0003","1922","1","Office","356440","Retail Store","23132","Not Available","Not Available","1240.1","81","Not Available","379572","356440","Not Available","Not Available","23132","Not Available","379572","Not Available","Not Available","Not Available","Not Available","1064302.8","Not Available","Not Available","4313086.3"
"100 Central Park South","1010117505","1918","1","Multifamily Housing","89546","Museum","2400","Fast Food Restaurant","2277","493.3","31","Not Available","94975","Not Available","89546","Not Available","0","Not Available","94975","Not Available","Not Available","Not Available","Not Available","4066015.1","538037.5","5380.37523","718125"
"100 Church Street","1001250020","1958","1","Office","967757","Pre-school/Daycare","13772","Data Center","11114","5116.6","75","Not Available","995213","967757","Not Available","Not Available","Not Available","Not Available","995213","Not Available","Not Available","Not Available","Not Available","23732633.5","1774214.8","17742.14808","12711873.6"
"100 East 53rd Street","1-01307-7502","2018","1","Multifamily Housing","304439","Restaurant","14855","Not Available","Not Available","2081.9","1","Not Available","319294","Not Available","304439","Not Available","Not Available","Not Available","319294","Not Available","Not Available","Not Available","Not Available","14242170.5","1728972.7","17289.72683","3852077.3"
"100 John Street","1-00069-7502","1998","1","Multifamily Housing","377672","Parking","13310","Not Available","Not Available","1536.6","38","Not Available","377672","Not Available","377672","13310","Not Available","Not Available","377672","13310","Not Available","Not Available","Not Available","12294092.4","2046887.7","20468.87654","2255752.6"
"100 Maiden Lane","1-00042-0001","1930","1","Multifamily Housing","279600","Not Available","Not Available","Not Available","Not Available","1417.2","30","Not Available","279600","Not Available","279600","Not Available","Not Available","Not Available","279600","Not Available","Not Available","Not Available","Not Available","8441020.5","1418218.2","14182.18204","2882156.1"
"100 Park Avenue","1012750027","1948","1","Office","850336","Retail Store","6248","Data Center","2678","3384.4","80","Not Available","861569","850336","Not Available","Not Available","6248","Not Available","861569","Not Available","Not Available","Not Available","Not Available","12347452.9","731679.8","7316.797965","9315528.7"
"100 Trinity Place","1000520001","1958","1","K-12 School","115125","Not Available","Not Available","Not Available","Not Available","898.1","11","Not Available","115125","Not Available","Not Available","Not Available","Not Available","Not Available","115125","Not Available","Not Available","Not Available","Not Available","8851122.1","28000","280.0000144","1139199.9"
"100 UN Plaza","1-01341-7503","1984","1","Multifamily Housing","374334.9","Parking","30577","Fitness Center/Health Club/Gym","1800","2901.4","5","Not Available","365431","Not Available","374334.9","30577","Not Available","Not Available","376134.9","30577","Not Available","Not Available","Not Available","31094313.5","639198.5","6391.98533","2961204.2"
"100 Wall Street","1-00038-0001","1969","1","Office","509802","Mailing Center/Post Office","5782","Other","2433","2871.9","64","Not Available","519093","509802","Not Available","Not Available","Not Available","Not Available","519093","Not Available","Not Available","Not Available","Not Available","21123596.2","Not Available","Not Available","5419209.4"
"100 West 33rd Street","1008080040","1910","1","Office","766718","Enclosed Mall","231577","Retail Store","8536","3145.6","91","Not Available","1011831","766718","Not Available","Not Available","8536","Not Available","1011831","Not Available","Not Available","Not Available","Not Available","7774447.8","Not Available","Not Available","9697739.1"
"100 West 57th Street","1-01009-0029","1961","1","Multifamily Housing","350000","Parking","54000","Retail Store","25986","1776.7","76","Not Available","375986","Not Available","350000","54000","25986","Not Available","375986","54000","Not Available","Not Available","Not Available","11981751.5","10461971.3","104619.7125","1569092.1"
"100 West 58th Street","1010107505","1926","1","Multifamily Housing","116184","Retail Store","7793","Fast Food Restaurant","4272","848.1","6","Not Available","128249","Not Available","116184","Not Available","7793","Not Available","128249","Not Available","Not Available","Not Available","Not Available","5050985.7","670173.8","6701.7376","1759814.9"
"100 West 92nd Street","1012229029","1969","1","Multifamily Housing","200607","Parking","33110","K-12 School","6017","975.5","95","Not Available","206624","Not Available","200607","33110","Not Available","Not Available","206624","33110","Not Available","Not Available","Not Available","9430408","616035.7","6160.3571","1167778.3"
"100 William Street","1-00068-0036","1972","1","Office","352878","Data Center","22390","Parking","10000","3544.6","74","Not Available","377120","352878","Not Available","10000","Not Available","Not Available","377120","10000","Not Available","Not Available","Not Available","18219013.9","Not Available","Not Available","8611691.9"
"1011 1st Ave","1-01348-0023","1972","2","Office","217085","K-12 School","130000","Other","19911","2107.5","Not Available","Property Type cannot get a score as a campus","379996","217085","Not Available","Not Available","Not Available","Not Available","379996","Not Available","Not Available","Not Available","Not Available","14769706.5","469460.7","4694.606818","4063979.9"
"101 Avenue of the Americas","1-00477-0011","2009","1","Office","211207","Financial Office","111918","Laboratory","33661","3281.9","27","Not Available","357905","211207","Not Available","Not Available","Not Available","Not Available","357905","Not Available","Not Available","Not Available","Not Available","13250412.8","Not Available","Not Available","8859596.7"
"101 EAST 69TH STREET","1014040001","1932","1","Hotel","93000","Not Available","Not Available","Not Available","Not Available","874.6","39","Not Available","93000","Not Available","Not Available","Not Available","Not Available","Not Available","93000","Not Available","Not Available","Not Available","Not Available","7760999.8","497806.8","4978.06794","1227756.2"
"101 East 77th Street","1-01411-0001","1894","9","Hospital (General Medical & Surgical)","858700","Urgent Care/Clinic/Other Outpatient","14300","Not Available","Not Available","16327.2","60","Not Available","873000","Not Available","Not Available","Not Available","Not Available","Not Available","873000","Not Available","Not Available","Not Available","483689.9","139874391.3","Not Available","Not Available","25832037.3"
"101 Greenwich Street","1-00051-0001","1907","1","Office","481035","Not Available","Not Available","Not Available","Not Available","1059.4","96","Not Available","481035","481035","Not Available","Not Available","Not Available","Not Available","481035","Not Available","Not Available","Not Available","Not Available","2619776.2","Not Available","Not Available","3265944.1"
"101 Park Avenue","1-01295-0001","1982","1","Office","1208216","Parking","37399","Social/Meeting Hall","31868","5879.3","67","Not Available","1240084","1208216","Not Available","37399","Not Available","Not Available","1240084","37399","Not Available","Not Available","Not Available","24830759.6","385490.8","3854.90756","15527926.9"
"1025 Fifth Avenue","1014950004","1955","1","Multifamily Housing","284443","Parking","19800","Office","8307","1588.9","40","Not Available","292750","8307","284443","19800","Not Available","Not Available","292750","19800","Not Available","Not Available","Not Available","16086259.6","359984.6","3599.845727","1850275.6"
"1040 Fifth Avenue","1-01497-0001","1930","1","Multifamily Housing","146048","Not Available","Not Available","Not Available","Not Available","721.4","57","Not Available","146048","Not Available","146048","Not Available","Not Available","Not Available","146048","Not Available","Not Available","Not Available","Not Available","6516030","81574.6","815.7459824","1048984.5"
"1045 Fifth Ave","1014970073","1967","1","Multifamily Housing","46827","Not Available","Not Available","Not Available","Not Available","162.1","78","Not Available","46827","Not Available","46827","Not Available","Not Available","Not Available","46827","Not Available","Not Available","Not Available","Not Available","1129091.7","32911.6","329.1159129","314914.8"
"104 BROAD ST","1-00008-0044","1917","1","Other - Technology/Science","217034","Not Available","Not Available","Not Available","Not Available","2550.4","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","217034","Not Available","Not Available","Not Available","Not Available","Not Available","217034","Not Available","Not Available","Not Available","Not Available","5502859.3","Not Available","Not Available","8058836"
"104 Haven Ave.","1021390229","2016","1","College/University","115531","Not Available","Not Available","Not Available","Not Available","1737.9","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","115531","Not Available","Not Available","Not Available","Not Available","Not Available","115531","Not Available","Not Available","Not Available","Not Available","10706836.4","Not Available","Not Available","2157628.2"
"104 West 40th Street","1-00815-0021","1962","1","Office","181600","Not Available","Not Available","Not Available","Not Available","1308.5","54","Not Available","181600","181600","Not Available","Not Available","Not Available","Not Available","181600","Not Available","Not Available","Not Available","Not Available","10525060.9","346852.9","3468.528674","2180639.6"
"1050 Fifth Ave","1014980001","1960","1","Multifamily Housing","193200","Parking","5300","Urgent Care/Clinic/Other Outpatient","3500","842.9","66","Not Available","196700","Not Available","193200","5300","Not Available","Not Available","196700","5300","Not Available","Not Available","Not Available","9212265.2","171616.9","1716.16939","819333.8"
"105 East 17th Street","1008730010;1008737502","1960","1","Office","112170","Not Available","Not Available","Not Available","Not Available","463.8","87","Not Available","112170","112170","Not Available","Not Available","Not Available","Not Available","112170","Not Available","Not Available","Not Available","Not Available","785828.3","Not Available","Not Available","1518329.5"
